,u,i,ts,label,idx
173,18,14,1598186407280.0,0,173
174,14,13,1598186409400.0,0,174
175,15,22,1598186413080.0,dribble,175
176,20,15,1598186413240.0,tackle,176
177,20,20,1598186415680.0,0,177
178,4,0,1598186421600.0,0,178
179,8,8,1598186425440.0,0,179
180,0,8,1598186425960.0,0,180
181,8,7,1598186428120.0,0,181
182,7,4,1598186430760.0,0,182
183,4,3,1598186433840.0,0,183
184,3,2,1598186437720.0,0,184
185,18,23,1598186439360.0,clearence,185
186,1,0,1598186473720.0,0,186
187,0,8,1598186476720.0,0,187
188,8,5,1598186479160.0,0,188
189,14,23,1598186480240.0,clearence,189
190,22,23,1598186486160.0,ball out,190
191,8,4,1598186492640.0,0,191
192,0,4,1598186495440.0,0,192
193,16,18,1598186508320.0,0,193
194,18,19,1598186514560.0,0,194
195,19,16,1598186517080.0,0,195
196,16,13,1598186520320.0,0,196
197,20,20,1598186526560.0,0,197
198,5,3,1598186529120.0,0,198
199,3,5,1598186533080.0,0,199
200,5,7,1598186537280.0,0,200
201,7,9,1598186540440.0,0,201
202,9,22,1598186542600.0,dribble,202
203,17,9,1598186542880.0,tackle,203
204,16,15,1598186546120.0,0,204
205,3,22,1598186547560.0,interception,205
206,5,6,1598186551080.0,0,206
207,4,6,1598186558600.0,0,207
208,3,7,1598186588040.0,0,208
209,16,23,1598186589800.0,clearence,209
210,8,9,1598186593440.0,0,210
211,9,0,1598186595280.0,0,211
212,22,23,1598186600680.0,ball out,212
213,21,21,1598186619040.0,0,213
214,9,8,1598186622440.0,0,214
215,8,7,1598186624920.0,0,215
216,12,7,1598186627920.0,tackle,216
217,11,13,1598186630080.0,0,217
218,13,22,1598186636360.0,dribble,218
219,13,24,1598186637640.0,shot,219
220,4,23,1598186638680.0,clearence,220
221,15,13,1598186642840.0,0,221
222,5,22,1598186643440.0,interception,222
223,3,0,1598186648120.0,0,223
224,14,17,1598186650800.0,0,224
225,17,12,1598186654080.0,0,225
226,9,22,1598186654920.0,interception,226
227,19,13,1598186656600.0,0,227
228,3,0,1598186658000.0,0,228
229,0,2,1598186661400.0,0,229
230,17,18,1598186670680.0,0,230
231,18,16,1598186673960.0,0,231
232,16,11,1598186677920.0,0,232
233,12,10,1598186681560.0,0,233
234,22,23,1598186683240.0,ball out,234
235,10,23,1598186711040.0,clearence,235
236,22,23,1598186712520.0,ball out,236
237,22,23,1598186712520.0,ball out,237
238,10,11,1598186730400.0,0,238
239,8,22,1598186731680.0,interception,239
240,19,14,1598186735320.0,0,240
241,14,22,1598186742120.0,dribble,241
242,3,14,1598186743120.0,tackle,242
243,3,0,1598186746240.0,0,243
244,0,3,1598186748800.0,0,244
245,3,2,1598186752080.0,0,245
246,21,21,1598186757080.0,0,246
247,17,19,1598186759480.0,0,247
248,19,17,1598186760160.0,0,248
249,21,21,1598186764440.0,0,249
250,18,18,1598186772640.0,0,250
251,21,21,1598186777160.0,0,251
252,14,19,1598186781400.0,0,252
253,19,14,1598186788320.0,0,253
254,14,14,1598186793920.0,0,254
255,6,14,1598186794240.0,tackle,255
256,22,23,1598186794840.0,ball out,256
257,22,23,1598186794840.0,ball out,257
258,14,19,1598186807560.0,0,258
259,19,18,1598186807880.0,0,259
260,14,16,1598186808920.0,0,260
261,16,17,1598186812600.0,0,261
262,11,17,1598186817160.0,0,262
263,9,0,1598186818120.0,0,263
264,0,2,1598186823640.0,0,264
265,21,21,1598186836120.0,0,265
266,19,16,1598186843080.0,0,266
267,16,10,1598186845960.0,0,267
268,10,18,1598186850400.0,0,268
269,21,21,1598186854760.0,0,269
270,18,16,1598186861520.0,0,270
271,16,22,1598186865760.0,dribble,271
272,17,11,1598186869560.0,0,272
273,11,10,1598186871880.0,0,273
274,10,11,1598186877800.0,0,274
275,7,6,1598186884720.0,0,275
276,8,7,1598186884760.0,0,276
277,4,9,1598186889840.0,0,277
278,6,7,1598186891840.0,0,278
279,7,7,1598186894160.0,0,279
280,6,8,1598186899440.0,0,280
281,22,23,1598186899960.0,ball out,281
282,22,23,1598186899960.0,ball out,282
283,10,16,1598186907720.0,0,283
284,16,18,1598186911960.0,0,284
285,18,15,1598186920320.0,0,285
286,3,2,1598186922440.0,0,286
287,0,22,1598186926440.0,dribble,287
288,18,0,1598186926480.0,tackle,288
289,15,14,1598186928840.0,0,289
290,14,14,1598186932280.0,0,290
291,6,14,1598186932560.0,tackle,291
292,22,23,1598186933320.0,ball out,292
293,22,23,1598186933320.0,ball out,293
294,14,18,1598186938280.0,0,294
295,18,17,1598186942560.0,0,295
296,17,14,1598186945040.0,0,296
297,14,18,1598186946880.0,0,297
298,18,16,1598186950880.0,0,298
299,21,21,1598186953880.0,0,299
300,18,16,1598186960040.0,0,300
301,21,21,1598186963760.0,0,301
302,16,16,1598186969280.0,0,302
303,12,1,1598186975560.0,tackle,303
304,10,17,1598186976040.0,0,304
305,17,11,1598186978560.0,0,305
306,5,23,1598186982880.0,clearence,306
307,10,10,1598187008360.0,0,307
308,13,10,1598187009120.0,0,308
309,10,12,1598187011480.0,0,309
310,12,13,1598187013880.0,0,310
311,13,13,1598187014640.0,0,311
312,10,13,1598187015560.0,0,312
313,12,12,1598187018920.0,0,313
314,17,10,1598187021480.0,0,314
315,10,12,1598187022280.0,0,315
316,22,23,1598187026600.0,ball out,316
317,22,23,1598187026600.0,ball out,317
318,8,9,1598187035280.0,0,318
319,4,3,1598187039480.0,0,319
320,3,4,1598187044200.0,0,320
321,4,3,1598187046960.0,0,321
322,3,4,1598187048800.0,0,322
323,4,7,1598187051680.0,0,323
324,7,8,1598187057920.0,0,324
325,8,2,1598187060720.0,0,325
326,2,24,1598187062200.0,shot,326
327,21,21,1598187083520.0,0,327
328,11,14,1598187086120.0,0,328
329,19,17,1598187091240.0,0,329
330,17,18,1598187091960.0,0,330
331,18,16,1598187093760.0,0,331
332,21,21,1598187096720.0,0,332
333,18,16,1598187106240.0,0,333
334,21,21,1598187116400.0,0,334
335,11,13,1598187119160.0,0,335
336,8,7,1598187121800.0,0,336
337,20,20,1598187125520.0,0,337
338,10,12,1598187152240.0,0,338
339,17,12,1598187152480.0,0,339
340,1,2,1598187153680.0,0,340
341,2,6,1598187157200.0,0,341
342,16,19,1598187158760.0,0,342
343,8,6,1598187176440.0,0,343
344,9,4,1598187182720.0,0,344
345,4,3,1598187184440.0,0,345
346,3,5,1598187189000.0,0,346
347,5,7,1598187191720.0,0,347
348,7,2,1598187195800.0,0,348
349,16,23,1598187197400.0,clearence,349
350,4,24,1598187199920.0,shot,350
351,21,21,1598187237880.0,0,351
352,11,12,1598187241200.0,0,352
353,12,16,1598187255640.0,0,353
354,15,15,1598187257320.0,0,354
355,20,20,1598187260480.0,0,355
356,4,8,1598187262680.0,0,356
357,8,7,1598187268400.0,0,357
358,7,3,1598187271760.0,0,358
359,3,9,1598187278080.0,0,359
360,9,7,1598187282440.0,0,360
361,7,4,1598187285840.0,0,361
362,4,9,1598187287720.0,0,362
